Timestep,Angular Velocity X,Angular Velocity Y,Angular Velocity Z
0.0,0.03154056232005177,-0.0048508727694925435,1.1731828942145421
32.0,-0.0205286135576112,0.00800882124257698,-1.7257745452341353
64.0,-0.0193253591952662,0.0023253946309262806,-1.654396933279678
96.0,-0.030331560620776524,0.00165780528557964,-2.2642999195340274
128.0,0.005830613463660541,-0.0046290795540475565,0.5896586419034243
160.0,0.018882681043964435,-0.0030180369445915595,2.0989870644676656
192.0,0.021476641866181458,-0.00448640093615444,2.2257107144822124
224.0,0.017953748237784936,0.0017273583380554387,2.006473967513102
256.0,-0.017864202989925665,0.009601936683519307,-1.2332930461222986
288.0,-0.012795993086453454,-0.0004989975094811579,-1.4102052462354067
320.0,-0.014082247037006503,-0.0039372014503019715,-1.8208994924589132
352.0,0.006706693419000967,-0.0020080623578235457,1.1439312970954862
384.0,0.021732281103567484,-0.004701626608613275,2.1731677611127784
416.0,0.01866411596545871,-0.001007948554278936,1.7450173288401747
448.0,0.023735074677407576,-0.010459187404898531,2.0770861627757706
480.0,0.015737985516202826,2.669375035817449e-06,1.722824649392447
512.0,0.02256924991392883,-0.014313997473611893,2.0936615177237035
544.0,-0.01583740868500667,0.02087454104135297,-1.5828441873021144
576.0,-0.008312614403571287,0.004254691812189196,-0.6011989714487715
608.0,0.008612102782344018,-0.001897843976930499,0.9536827277453667
640.0,-0.010146821612369518,0.004728524043372279,-1.1520546632692275
672.0,-0.012639454686821303,0.0015557934924368163,-1.1914858155961265
704.0,0.01130074067391313,-0.007644846053291021,1.2654655958504724
736.0,0.019372442694530558,0.0065934981043247,1.6065548654536441
768.0,-0.012271184111300779,-0.0017502135962995983,-1.5325694882004537
800.0,0.010100684839784171,0.0038235589284596394,1.1567216130056621
832.0,0.009019316299175992,-0.003256204907661391,0.8634066146454479
864.0,0.012393823431112155,-0.0035616962084161472,1.407005254696434
896.0,0.005956384781021766,-0.003236954432336609,1.1689942758984553
928.0,0.011462362959950002,0.008355591196059588,1.1177849191200318
960.0,0.013126990208698825,0.006678592230533695,1.607872898270013
992.0,0.029297484388866236,0.010399126843798859,1.9176777696725051
1024.0,-0.00399218988928911,-0.00377817991102531,-0.725133878181801
1056.0,0.008571390619419368,-0.00796300132706766,1.0648918257472457
1088.0,-0.008612695155668832,0.0035363733170156414,-0.698138015248187
1120.0,0.005982392141781914,0.0010719691822901785,1.2987719304229879
1152.0,-0.013105568054411317,-0.006041831615996337,-1.5567170278666913
1184.0,0.008865528658125815,0.0035364849765135795,0.8908648132139052
1216.0,0.00804405333519102,0.0006883911993616457,1.326573893318823
