Timestep,Distance
0.0,1001.0
32.0,994.0
64.0,994.0
96.0,987.0
128.0,980.0
160.0,980.0
192.0,980.0
224.0,973.0
256.0,966.0
288.0,966.0
320.0,959.0
352.0,959.0
384.0,952.0
416.0,952.0
448.0,945.0
480.0,938.0
512.0,938.0
544.0,931.0
576.0,931.0
608.0,931.0
640.0,931.0
672.0,931.0
704.0,924.0
736.0,924.0
768.0,917.0
800.0,910.0
832.0,910.0
864.0,903.0
896.0,903.0
928.0,896.0
960.0,889.0
992.0,889.0
1024.0,882.0
1056.0,882.0
1088.0,875.0
1120.0,875.0
1152.0,868.0
1184.0,868.0
1216.0,868.0
1248.0,861.0
1280.0,861.0
1312.0,854.0
1344.0,847.0
1376.0,840.0
1408.0,840.0
1440.0,840.0
1472.0,833.0
1504.0,826.0
1536.0,819.0
1568.0,819.0
1600.0,812.0
1632.0,812.0
1664.0,812.0
1696.0,805.0
1728.0,798.0
1760.0,798.0
1792.0,791.0
1824.0,791.0
1856.0,784.0
1888.0,784.0
1920.0,777.0
1952.0,777.0
1984.0,777.0
2016.0,770.0
2048.0,770.0
2080.0,763.0
2112.0,763.0
2144.0,763.0
2176.0,756.0
2208.0,756.0
2240.0,756.0
2272.0,749.0
2304.0,749.0
2336.0,749.0
2368.0,742.0
2400.0,735.0
2432.0,735.0
2464.0,728.0
2496.0,721.0
2528.0,721.0
2560.0,714.0
2592.0,714.0
2624.0,707.0
2656.0,707.0
2688.0,700.0
2720.0,700.0
2752.0,693.0
2784.0,686.0
2816.0,686.0
2848.0,686.0
2880.0,679.0
2912.0,672.0
2944.0,672.0
2976.0,672.0
3008.0,665.0
3040.0,665.0
3072.0,658.0
3104.0,658.0
3136.0,651.0
3168.0,651.0
3200.0,651.0
3232.0,644.0
3264.0,637.0
3296.0,630.0
3328.0,623.0
3360.0,623.0
3392.0,616.0
3424.0,609.0
3456.0,609.0
3488.0,609.0
3520.0,602.0
3552.0,602.0
3584.0,595.0
3616.0,588.0
3648.0,581.0
3680.0,581.0
3712.0,581.0
3744.0,581.0
3776.0,574.0
3808.0,574.0
3840.0,567.0
3872.0,567.0
3904.0,560.0
3936.0,560.0
3968.0,553.0
4000.0,553.0
4032.0,553.0
4064.0,546.0
4096.0,546.0
4128.0,539.0
4160.0,539.0
4192.0,532.0
4224.0,532.0
4256.0,525.0
4288.0,518.0
4320.0,518.0
